K26_8C,L3,MAD,KLYS:LI26:81,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S26,,,LCAV,,10FT,619.3557101,2032.006923,2634.02105,8641.801345,,,,,AD-756-115-0,"SIOC-ALH0-RF00, IOC-LI26-CV01, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00, SIOC-LI26-TM01",,"	- NO SECTION -",,,,,,N,3.0441,2856,48.1984692,0,15.83340534148,.25,,,,,,,,,,,,,,,,,,,,,,,,2634.02105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI26%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2616,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,26-16,,PEN,,,,,2634.078,8641.988189,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K26_8D,L3,MAD,KLYS:LI26:81,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S26,,,LCAV,,10FT,622.3998101,2041.994128,2637.06515,8651.78855,,,,,AD-756-115-0,"SIOC-ALH0-RF00, IOC-LI26-CV01, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00, SIOC-LI26-TM01",,"	- NO SECTION -",,,,,,N,3.0441,2856,48.1984692,0,15.83340534148,.25,,,,,,,,,,,,,,,,,,,,,,,,2637.06515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI26%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2617,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,26-17,,PEN,,,,,2637.329,8652.654199,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
XC26900,L3,MAD,XCOR:LI26:900,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S26,,,XCOR,XC26900,TYPE-5,623.2646601,2044.831562,2637.93,8654.625984,,,,,SA-238-4-13,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2637.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:LI26%25,XCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
YC26900,L3,MAD,YCOR:LI26:900,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S26,,,YCOR,YC26900,TYPE-5,623.5146601,2045.651772,2638.18,8655.446194,,,,,SA-238-4-13,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2638.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:LI26%25,YCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
BPM26901,L3,MAD,BPMS:LI26:901,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S26,,,BPM,,10_UM_RES,624.2500601,2048.064502,2638.9154,8657.858924,,,,,SA-906-205-75,"SIOC-SYS0-FB00, EIOC-LI26-BP901, SIOC-ALH0-FBCK00, IOC-LI26-BP02, SIOC-SYS0-OP00, SIOC-ALH0-GADC00",,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2638.9154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:LI26%25,BPMS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
Q26901,L3,MAD,QUAD:LI26:901,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S26,,,QUAD,Q26901,QE,624.2500601,2048.064502,2638.9154,8657.858924,,,,,SA-902-675-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,-11.079821810439,10.374364991048,,,,,,,,,,,,,,,,,,2638.9154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:LI26%25,QUAD:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
BPN26END,BYP,MAD,,,,,,308,,SYMBOLS,A,AD_ACCEL,,,,INST,,,2651.718156,8699.862717,2641.6,8666.666667,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
BPN27BEG,BYP,MAD,,,,,,308,,SYMBOLS,A,AD_ACCEL,,,,INST,,,2651.718156,8699.862717,2641.6,8666.666667,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
LI26END,L3,MAD,,,,,,308,,SYMBOLS,I,AD_ACCEL,,,,MARK,,,626.9346601,2056.872244,2641.6,8666.666667,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
LI27BEG,L3,MAD,,,,,,308,,SYMBOLS,I,AD_ACCEL,,,,MARK,,,626.9346601,2056.872244,2641.6,8666.666667,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2641.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
VVPG_BPN27_106,BYP,NONMAD,VVPG:BPN27:991,,,,,,,CABLES,A,AD_ACCEL,,,,INST,,PNEUMATIC VALVE,,,2641.6,8666.666667,,,,,,,"#NONMAD ELEMENT NAME CHANGED FROM ""VVPG_BPN27_991"" ON 14-APR-2023 17:23:33#","	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VVPG:BPN27%25,VVPG:%25,,,
K27_1A,L3,MAD,KLYS:LI27:11,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,628.4567101,2061.865847,2643.12205,8671.660269,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2643.12205,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2701,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,27-1,,PEN,,,,,2643.174,8671.830709,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K27_1B,L3,MAD,KLYS:LI27:11,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,631.5008101,2071.853052,2646.16615,8681.647474,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2646.16615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
VPIO_BPN27_161,BYP,NONMAD,VPIO:BPN27:161,,,,,,,CABLES,A,AD_ACCEL,,,,PUMP,,ION PUMP,,,2647.8,8687.007874,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VPIO:BPN27%25,VPIO:%25,,,
K27_1C,L3,MAD,KLYS:LI27:11,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,634.5449101,2081.840256,2649.21025,8691.634678,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2649.21025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2702,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,27-2,,PEN,,,,,2649.27,8691.830709,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K27_1D,L3,MAD,KLYS:LI27:11,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,637.5890101,2091.827461,2652.25435,8701.621883,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2652.25435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
BPM27201,L3,MAD,BPMS:LI27:201,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,BPM,,10_UM_RES,639.1986601,2097.108465,2653.864,8706.902887,,,,,SA-906-205-75,"SIOC-SYS0-OP00, SIOC-ALH0-GADC00",,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2653.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:LI27%25,BPMS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
Q27201,L3,MAD,QUAD:LI27:201,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,QUAD,Q27201,QE,639.1986601,2097.108465,2653.864,8706.902887,,,,,SA-902-675-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,11.145428581859,-10.435794552302,,,,,,,,,,,,,,,,,,2653.864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:LI27%25,QUAD:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
XC27202,L3,MAD,XCOR:LI27:202,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,XCOR,XC27202,TYPE-5,639.6046601,2098.440486,2654.27,8708.234908,,,,,SA-238-4-13,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:LI27%25,XCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
YC27203,L3,MAD,YCOR:LI27:203,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,YCOR,YC27203,TYPE-5,639.8546601,2099.260696,2654.52,8709.055118,,,,,SA-238-4-13,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2654.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:LI27%25,YCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
K27_2A,L3,MAD,KLYS:LI27:21,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,640.8011101,2102.365847,2655.46645,8712.160269,,,,,AD-756-115-0,"SIOC-ALH0-RF00, IOC-LI27-CV01, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2655.46645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2703,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,27-3,,PEN,,,,,2655.518,8712.329396,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K27_2B,L3,MAD,KLYS:LI27:21,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,643.8452101,2112.353052,2658.51055,8722.147474,,,,,AD-756-115-0,"SIOC-ALH0-RF00, IOC-LI27-CV01, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2658.51055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
K27_2C,L3,MAD,KLYS:LI27:21,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,646.8893101,2122.340256,2661.55465,8732.134678,,,,,AD-756-115-0,"SIOC-ALH0-RF00, IOC-LI27-CV01, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2661.55465,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2704,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,27-4,,PEN,,,,,2661.614,8732.329396,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K27_2D,L3,MAD,KLYS:LI27:21,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,649.9334101,2132.327461,2664.59875,8742.121883,,,,,AD-756-115-0,"SIOC-ALH0-RF00, IOC-LI27-CV01, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2664.59875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
BPM27301,L3,MAD,BPMS:LI27:301,L3,,,BPMS:LA27:301,308,,SYMBOLS,A,AD_ACCEL,S27,,,BPM,,10_UM_RES,651.5430601,2137.608465,2666.2084,8747.402887,,,,,SA-906-205-75,"SIOC-SYS0-FB00, SIOC-ALH0-FBCK00, SIOC-SYS0-OP00, SIOC-ALH0-GADC00",,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666.2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:LI27%25,BPMS:LA27%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
Q27301,L3,MAD,QUAD:LI27:301,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,QUAD,Q27301,QE,651.5430601,2137.608465,2666.2084,8747.402887,,,,,SA-902-675-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,-11.604282890913,10.865433418458,,,,,,,,,,,,,,,,,,2666.2084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:LI27%25,QUAD:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
XC27302,L3,MAD,XCOR:LI27:302,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,XCOR,XC27302,TYPE-4,651.9546601,2138.958859,2666.62,8748.753281,,,,,SA-238-4-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:LI27%25,XCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
YC27303,L3,MAD,YCOR:LI27:303,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,YCOR,YC27303,TYPE-4,652.3241601,2140.171129,2666.9895,8749.965551,,,,,SA-238-4-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2666.9895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:LI27%25,YCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
K27_3A,L3,MAD,KLYS:LI27:31,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,653.1455101,2142.865847,2667.81085,8752.660269,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2667.81085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2705,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,27-5,,PEN,,,,,2667.862,8752.828084,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
K27_3B,L3,MAD,KLYS:LI27:31,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,656.1896101,2152.853052,2670.85495,8762.647474,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2670.85495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
K27_3C,L3,MAD,KLYS:LI27:31,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,659.2337101,2162.840256,2673.89905,8772.634678,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2673.89905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2706,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,27-6,,PEN,,,,,2673.958,8772.828084,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
VGCC_BPN27_393,BYP,NONMAD,VGCC:BPN27:393,,,,,,,CABLES,A,AD_ACCEL,,,,INST,,COLD CATHODE,,,2676.121,8779.924541,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGCC:BPN27%25,VGCC:%25,,,
VGPR_BPN27_393,BYP,NONMAD,VGPR:BPN27:393,,,,,,,CABLES,A,AD_ACCEL,,,,INST,,PIRANI,,,2676.121,8779.924541,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VGPR:BPN27%25,VGPR:%25,,,
QBP27,BYP,MAD,QUAD:BPN27:400,BYP,,,,308,,SYMBOLS,A,AD_ACCEL,BPN27,,,QUAD,QBP27,2Q4,2687.049459,8815.779065,2676.931303,8782.583015,,,,,,,,"	- NO SECTION -",,,,,,N,.1244,,,,,,,,,,3.700541176355,-2.974711556555,,,,,,,,,,,,,,,,,,2676.931303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:BPN27%25,QUAD:%25,"Commissioned, Online",09/21/2022,"SC_BSYD, SC_BSYD2, SC_DASEL, SC_DASEL2, SC_HXR, SC_HXR2, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
K27_3D,L3,MAD,KLYS:LI27:31,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,662.2778101,2172.827461,2676.94315,8782.621883,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2676.94315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
BPMBP27,BYP,MAD,BPMS:BPN27:400,BYP,,,,308,,SYMBOLS,A,AD_ACCEL,BPN27,,,BPM,,STRIPLINE-5,2687.556839,8817.443697,2677.438683,8784.247648,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2677.438683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:BPN27%25,BPMS:%25,,,"SC_BSYD, SC_BSYD2, SC_DASEL, SC_DASEL2, SC_HXR, SC_HXR2, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
XCBP27,BYP,MAD,XCOR:BPN27:406,BYP,,,,308,,SYMBOLS,A,AD_ACCEL,BPN27,,,XCOR,XCBP27,BYPASS#2,2688.185489,8819.506197,2678.067333,8786.310148,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.067333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:BPN27%25,XCOR:%25,"Commissioned, Online",09/21/2022,"SC_BSYD, SC_BSYD2, SC_DASEL, SC_DASEL2, SC_HXR, SC_HXR2, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
YCBP27,BYP,MAD,YCOR:BPN27:409,BYP,,,,308,,SYMBOLS,A,AD_ACCEL,BPN27,,,YCOR,YCBP27,BYPASS#2,2688.414089,8820.256197,2678.295933,8787.060148,,,,,,,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.295933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:BPN27%25,YCOR:%25,"Commissioned, Online",09/21/2022,"SC_BSYD, SC_BSYD2, SC_DASEL, SC_DASEL2, SC_HXR, SC_HXR2, SC_S2_X, SC_S2_X2, SC_SFTS, SC_SFTS2, SC_STMO, SC_STMO2, SC_STXI, SC_STXI2, SC_SXR, SC_SXR2, "
BPM27401,L3,MAD,BPMS:LI27:401,L3,,,BPMS:LA27:401,308,,SYMBOLS,A,AD_ACCEL,S27,,,BPM,,10_UM_RES,663.8874601,2178.108465,2678.5528,8787.902887,,,,,SA-906-205-75,"SIOC-SYS0-FB00, SIOC-ALH0-FBCK00, SIOC-SYS0-OP00, SIOC-ALH0-GADC00",,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BPMS:LI27%25,BPMS:LA27%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
Q27401,L3,MAD,QUAD:LI27:401,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,QUAD,Q27401,QE,663.8874601,2178.108465,2678.5528,8787.902887,,,,,SA-902-675-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,.1068,,,,,,,,,,11.280157299649,-10.561945037125,,,,,,,,,,,,,,,,,,2678.5528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,QUAD:LI27%25,QUAD:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
XC27402,L3,MAD,XCOR:LI27:402,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,XCOR,XC27402,TYPE-4,664.2946601,2179.444423,2678.96,8789.238845,,,,,SA-238-4-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2678.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,XCOR:LI27%25,XCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
YC27403,L3,MAD,YCOR:LI27:403,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,YCOR,YC27403,TYPE-4,664.5446601,2180.264633,2679.21,8790.059055,,,,,SA-238-4-1,SIOC-ALH0-MGNT00,,"	- NO SECTION -",,,,,,N,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2679.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YCOR:LI27%25,YCOR:%25,"Commissioned, Online",12/02/2005,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
K27_4A,L3,MAD,KLYS:LI27:41,L3,,,,308,,SYMBOLS,A,AD_ACCEL,S27,,,LCAV,,10FT,665.4899101,2183.365847,2680.15525,8793.160269,,,,,AD-756-115-0,"IOC-LI27-CV01, SIOC-ALH0-RF00, SIOC-ALH0-TEMP00, SIOC-SYS0-OP00",,"	- NO SECTION -",,,,,,N,3.0441,2856,0,0,0,.25,,,,,,,,,,,,,,,,,,,,,,,,2680.15525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KLYS:LI27%25,KLYS:%25,,,"CU_HTXI, CU_HXR, CU_HXTES, CU_SFTH, CU_SXR, "
PEN2707,"	- NO AREA -",NONMAD,,,,,,,,CABLES,A,LCLS2PEN,,27-7,,PEN,,,,,2680.206,8793.326772,,,,,,,,"	- NO SECTION -",,,,,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,%25,%25,,,
